32766887, 1.220643247
32768739, 1.220653185
32768740, 1.220653090
32719701, 1.220600584
-10528736, -10528782
-10528735, -10528781
-10528540, -10528586
32744803, 1.220202578
32719779, 1.220601230
-10528543, -10528589
-10528541, -10528587
32765951, 1.220615870
-10528542, -10528588
-10528545, -10528591
-10528548, -10528594
32762226, 1.220601406
32763543, 1.220603580
32719787, 1.220600760
32744845, 1.220204439
32769074, 1.220658643
32719788, 1.220600941
32755452, 1.220395643
32769075, 1.220658222
32768883, 1.220655956
32766537, 1.220622795
32763569, 1.220561740
32763661, 1.220562861
32763776, 1.220565328
32763856, 1.220566377
32764012, 1.220570501
32764106, 1.220577046
32764182, 1.220577553
